,Unnamed: 0,event_id,primary_act_id,secondary_act_id,purch_party_lkup_id,event_name,primary_act_name,secondary_act_name,major_cat_name,minor_cat_name,la_event_type_cat,event_disp_name,ticket_text,tickets_purchased_qty,trans_face_val_amt,delivery_type_cd,event_date_time,event_dt,presale_dt,onsale_dt,sales_ord_create_dttm,sales_ord_tran_dt,print_dt,timezn_nm,venue_city,venue_state,venue_postal_cd_sgmt_1,sales_platform_cd,print_flg,la_valid_tkt_event_flg,fin_mkt_nm,web_session_cookie_val,gndr_cd,age_yr,income_amt,edu_val,edu_1st_indv_val,edu_2nd_indv_val,adults_in_hh_num,married_ind,child_present_ind,home_owner_ind,occpn_val,occpn_1st_val,occpn_2nd_val,dist_to_ven
9,10,93fce8094d89e0a94aac,f6425a3223e73ea6de5a,d8c54467eb14c7dd1476,97a3efbab1bfcc0a6093,Shlohmo,Shlohmo,Purple,CONCERTS,DANCE MUSIC/DANCE,CONCERTS,Shlohmo,       *** *** ***               THE FILLMORE            1805 GEARY BLVD               SHLOHMO           OPEN DANCE FLOOR/DRS 7PM  THU APR 30 2015 8:00 PM  ,1,25.0,eTicket,2015-05-01 03:00:00,2015-04-30,,2014-12-12,2015-04-28 07:07:40,2015-04-27,2015-04-30,PST,SAN FRANCISCO,CALIFORNIA,94115,mobile.livenation.us,T ,Y ,N. California,97a3efbab1bfcc0a6093,,,,,,,,,,,,,,
11,12,6adcf8b2dc8a761b22b7,094156ef72361776c8ee,b148517112c348d23c90,aacf83f268bd967f98e7,Blake Shelton: Presented By Gildan,Blake Shelton,Chris Janson,CONCERTS,COUNTRY,CONCERTS,Blake Shelton: Presented By Gildan,   PRESENTED BY GILDAN          Blake Shelton              * * * * * *         THE PALACE-AUBURN HILLS         * * * * * *         SAT FEB 20 2016 7:30 PM  ,2,90.0,eTicket,2016-02-21 00:30:00,2016-02-20,2015-12-09,2015-12-11,2015-12-09 15:08:33,2015-12-09,2015-12-09,EST,AUBURN HILLS,MICHIGAN,48326,www.ticketmaster.com,T ,Y ,Michigan,aacf83f268bd967f98e7,,,,,,,,,,,,,,
16,17,e6a1bc0620dc1fb45b6d,7cb02562bcb9387cbd13,b85143bf51323b72e53c,0782b2074b13d4bd4756,Lindsey Stirling: The Music Box Tour,Lindsey Stirling,,CONCERTS,ROCK/POP,CONCERTS,Lindsey Stirling: The Music Box Tour, PRODUCED BY LIVE NATION       LINDSEY STIRLING         THE MUSIC BOX TOUR            *   *   *         JACOBS PAVILION AT NAUTICA TUE JUN 09 2015 8:00 PM  ,2,70.0,eTicket,2015-06-10 00:00:00,2015-06-09,2015-03-19,2015-03-20,2015-06-01 20:52:50,2015-06-01,2015-06-05,CST,CLEVELAND,OHIO,44113,www.concerts.livenation.com,T ,Y ,Cleveland,0782b2074b13d4bd4756,,,,,,,,,,,,,,
26,27,dcc303578fdb9493de39,a75e1e1b72ac7f7ab1f6,486fe5fcfdb664516ec1,42c5142562a4a9a01798,Godsmack,Godsmack,Within Reason,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Godsmack,"   LIVE NATION PRESENTS            GODSMACK             GENERAL ADMISSION        SOUTH SIDE BALLROOM     1135 S. LAMAR/DALLAS,TX   FRI APR 17 2015 8:00 PM  ",1,45.0,eTicket,2015-04-18 01:00:00,2015-04-17,2015-02-04,2015-02-06,2015-04-16 22:58:56,2015-04-16,2015-04-16,CST,DALLAS,TEXAS,75215,www.concerts.livenation.com,T ,Y ,Dallas,42c5142562a4a9a01798,,,,,,,,,,,,,,
29,30,b516196d16d9f600ed69,8475a7f6159d0149c11d,a010d0552856269b65a2,e6c30f65b31f7d1c43d2,Florence And The Machine: How Beautiful Tour,Florence and the Machine,Of Monsters and Men,CONCERTS,ROCK/POP,CONCERTS,Florence And The Machine: How Beautiful Tour,"   LIVE NATION PRESENTS    FLORENCE AND THE MACHINE     HOW BEAUTIFUL TOUR     XFINITY CENTER,MANSFIELD  LOTS 4PM / DOORS 6:30PM   TUE JUN 07 2016 7:30 PM  ",2,40.0,eTicket,2016-06-07 23:30:00,2016-06-07,2016-01-12,2016-01-16,2016-01-16 19:30:08,2016-01-16,2016-01-16,EST,MANSFIELD,MASSACHUSETTS,02048,www.concerts.livenation.com,T ,Y ,Boston,e6c30f65b31f7d1c43d2,,,,,,,,,,,,,,
31,32,fcc63626b798bc92ce7a,f9e971b3fc578eab66b1,6e1eebe3c322e8abf8b2,d26d5458049dc302a6e2,Bruce Springsteen And The E Street Band: The River Tour.,Bruce Springsteen and the E Street Band,Bruce Springsteen,CONCERTS,ROCK/POP,CONCERTS,Bruce Springsteen And The E Street Band: The River Tour.," CHESAPEAKE ENERGY ARENA      BRUCE SPRINGSTEEN       FULL """"""""""""""""THE RIVER"""""""""""""""" PLUS!     & THE E STREET BAND      NO CAMERAS / RECORDERS   SUN APR 03 2016 7:30 PM  ",2,300.0,Paperless,2016-04-04 00:30:00,2016-04-03,,2016-01-30,2016-01-30 16:37:52,2016-01-30,2016-01-30,CST,OKLAHOMA CITY,OKLAHOMA,73102,iphone.ticketmaster.us,T ,Y ,Dallas,d26d5458049dc302a6e2,,,,,,,,,,,,,,
35,36,eef88a5dde63fc149a74,63d824ad0b2f6c12ee47,c02c74c8d0c05637215c,c85658e7afef85c3deab,Atlas Genius,Atlas Genius,Skylar Grey,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Atlas Genius,"       89X PRESENTS              ATLAS GENIUS            ALL AGES WELCOME            THE SHELTER         431 E CONGRESS, DETROIT  SAT APR 16 2016 DOORS 6PM ",2,34.0,eTicket,2016-04-16 22:00:00,2016-04-16,2016-02-18,2016-02-19,2016-02-22 15:52:08,2016-02-22,2016-02-22,EST,DETROIT,MICHIGAN,48226,android.ticketmaster.us,T ,Y ,Michigan,c85658e7afef85c3deab,,,,,,,,,,,,,,
45,46,e2f4175781f0fb12320d,b63a64e824260590cf07,cae4b1421548b007bec8,f94f617de3d2faa1dea8,Insane Clown Posse - hallowicked,Insane Clown Posse,P.O.D.,CONCERTS,RAP/URBAN,CONCERTS,Insane Clown Posse - hallowicked,   LIVE NATION PRESENTS       INSANE CLOWN POSSE           HALLOWICKED           THE FILLMORE DETROIT      2115 WOODWARD AVENUE   SAT OCT 31 2015 DRS 630PM ,1,32.5,Mail,2015-10-31 22:30:00,2015-10-31,2015-08-27,2015-08-28,2015-09-12 20:55:30,2015-09-12,2015-09-16,EST,DETROIT,MICHIGAN,48201,mobile.livenation.us,T ,Y ,Michigan,f94f617de3d2faa1dea8,,,,,,,,,,,,,,
47,48,efcadc4f3c03977a4847,392e51687934f626c075,257de415f75d6abf84e5,afeb79c6cd6d3dcc36b1,Bridge School Benefit Concert,Bridge School Benefit Concert,Neil Young,CONCERTS,ROCK/POP,CONCERTS,Bridge School Benefit Concert,       29TH ANNUAL          BRIDGE SCHOOL BENEFIT      1 *** 1 *** 1 *** 1      SHORELINE AMPHITHEATRE  ARTISTS SUBJECT TO CHANGE  SAT OCT 24 2015 5:00 PM  ,4,124.0,eTicket,2015-10-25 00:00:00,2015-10-24,,2015-09-18,2015-09-18 17:08:53,2015-09-18,2015-10-23,PST,MOUNTAIN VIEW,CALIFORNIA,94043,www.concerts.livenation.com,T ,Y ,N. California,afeb79c6cd6d3dcc36b1,,,,,,,,,,,,,,
50,51,5212e20ece2db84acf77,8a73711ab2cbfc6c2a2b,b85143bf51323b72e53c,7172c4b2148bd314f037,My Morning Jacket,My Morning Jacket,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,My Morning Jacket,   LIVE NATION PRESENTS       MY MORNING JACKET      WWW.MYMORNINGJACKET.COM         THE MASONIC        1111 CALIFORNIA ST - S.F.  SAT OCT 17 2015 8:00 PM  ,1,46.0,Mail,2015-10-18 03:00:00,2015-10-17,2015-05-08,2015-05-09,2015-05-08 17:02:03,2015-05-08,2015-05-13,PST,SAN FRANCISCO,CALIFORNIA,94108,iphone2.livenation.us,T ,Y ,N. California,7172c4b2148bd314f037,,,,,,,,,,,,,,
